node_pair,network_relation,city,eyes,bands,contrast
L-mPFC→L-PREC,DMN→DMN,Kraków,eyes closed,alpha,0.0350716779218174
L-mPFC→R-PREC,DMN→DMN,Kraków,eyes closed,alpha,0.13947559390641276
L-mPFC→L-ANG,DMN→DMN,Kraków,eyes closed,alpha,0.27507002339182823
L-mPFC→R-ANG,DMN→DMN,Kraków,eyes closed,alpha,0.3446942195101181
L-mPFC→L-SFG,DMN→CEN,Kraków,eyes closed,alpha,-0.04972814044201473
L-mPFC→R-SFG,DMN→CEN,Kraków,eyes closed,alpha,-0.0679306955342881
L-mPFC→L-pSTG,DMN→CEN,Kraków,eyes closed,alpha,0.026048073564864858
L-mPFC→R-pSTG,DMN→CEN,Kraków,eyes closed,alpha,0.04499212706658476
L-mPFC→L-ITG,DMN→CEN,Kraków,eyes closed,alpha,0.15620778296773496
L-mPFC→R-ITG,DMN→CEN,Kraków,eyes closed,alpha,0.2912648225889434
L-mPFC→L-SUP,DMN→CEN,Kraków,eyes closed,alpha,0.06694619270045785
L-mPFC→R-SUP,DMN→CEN,Kraków,eyes closed,alpha,-0.03996454718957891
R-mPFC→L-ACC,DMN→SN,Kraków,eyes closed,alpha,0.26286225663268004
R-mPFC→R-ACC,DMN→SN,Kraków,eyes closed,alpha,0.02497784199348682
R-mPFC→L-INS,DMN→SN,Kraków,eyes closed,alpha,-0.0734082073191646
R-mPFC→R-INS,DMN→SN,Kraków,eyes closed,alpha,0.34968978790881544
R-mPFC→L-IFG,DMN→DMN,Kraków,eyes closed,alpha,0.009991136797394728
R-mPFC→R-IFG,DMN→CEN,Kraków,eyes closed,alpha,0.0641549192076226
R-mPFC→L-mPFC,DMN→DMN,Kraków,eyes closed,alpha,0.017996850826633902
R-mPFC→L-aSTG,DMN→DMN,Kraków,eyes closed,alpha,0.2347917147387761
R-mPFC→R-aSTG,DMN→DMN,Kraków,eyes closed,alpha,0.2560996769510125
R-mPFC→L-PREC,DMN→DMN,Kraków,eyes closed,alpha,0.3596809247062102
R-mPFC→R-PREC,DMN→DMN,Kraków,eyes closed,alpha,0.20696378450628988
R-mPFC→L-ANG,DMN→DMN,Kraków,eyes closed,alpha,0.06513311614051803
R-mPFC→R-ANG,DMN→DMN,Kraków,eyes closed,alpha,0.3596809247062102
R-mPFC→L-SFG,DMN→CEN,Kraków,eyes closed,alpha,0.060734448160143485
R-mPFC→R-SFG,DMN→CEN,Kraków,eyes closed,alpha,-0.023765653627882233
R-mPFC→L-pSTG,DMN→CEN,Kraków,eyes closed,alpha,0.2098138727452893
R-mPFC→R-pSTG,DMN→CEN,Kraków,eyes closed,alpha,-0.01657604681400491
R-mPFC→L-ITG,DMN→CEN,Kraków,eyes closed,alpha,0.38493629827740244
R-mPFC→R-ITG,DMN→CEN,Kraków,eyes closed,alpha,0.10348189225314494
R-mPFC→L-SUP,DMN→CEN,Kraków,eyes closed,alpha,0.4260429614980358
R-mPFC→R-SUP,DMN→CEN,Kraków,eyes closed,alpha,0.24187191712040068
L-aSTG→L-ACC,DMN→SN,Kraków,eyes closed,alpha,0.21341639745917704
L-aSTG→R-ACC,DMN→SN,Kraków,eyes closed,alpha,0.08548504142651103
L-aSTG→L-INS,DMN→SN,Kraków,eyes closed,alpha,0.2024645717996314
L-aSTG→R-INS,DMN→SN,Kraków,eyes closed,alpha,0.034968978790881546
L-aSTG→L-IFG,DMN→DMN,Kraków,eyes closed,alpha,0.20860962628918853
L-aSTG→R-IFG,DMN→CEN,Kraków,eyes closed,alpha,0.3197163775166313
L-aSTG→L-mPFC,DMN→DMN,Kraków,eyes closed,alpha,0.023765653627882233
L-aSTG→R-mPFC,DMN→DMN,Kraków,eyes closed,alpha,0.008998425413316951
L-aSTG→R-aSTG,DMN→DMN,Kraków,eyes closed,alpha,0.35993701653267807
L-aSTG→L-PREC,DMN→DMN,Kraków,eyes closed,alpha,0.3149448894660933
L-aSTG→R-PREC,DMN→DMN,Kraków,eyes closed,alpha,-0.06993795758176309
L-aSTG→L-ANG,DMN→DMN,Kraków,eyes closed,alpha,-0.16107831903342404
L-aSTG→R-ANG,DMN→DMN,Kraków,eyes closed,alpha,0.4854413709815723
L-aSTG→L-SFG,DMN→CEN,Kraków,eyes closed,alpha,0.03996454718957891
L-aSTG→R-SFG,DMN→CEN,Kraków,eyes closed,alpha,-0.18896693367965595
L-aSTG→L-pSTG,DMN→CEN,Kraków,eyes closed,alpha,0.09484043965898194
L-aSTG→R-pSTG,DMN→CEN,Kraków,eyes closed,alpha,0.12330725186530231
L-aSTG→L-ITG,DMN→CEN,Kraków,eyes closed,alpha,0.07810389148386748
L-aSTG→R-ITG,DMN→CEN,Kraków,eyes closed,alpha,0.2039312242387692
L-aSTG→L-SUP,DMN→CEN,Kraków,eyes closed,alpha,0.1687391992448887
L-aSTG→R-SUP,DMN→CEN,Kraków,eyes closed,alpha,-0.023712933051019673
R-aSTG→L-ACC,DMN→SN,Kraków,eyes closed,alpha,-0.008553989227683014
R-aSTG→R-ACC,DMN→SN,Kraków,eyes closed,alpha,-0.4828418594749851
R-aSTG→L-INS,DMN→SN,Kraków,eyes closed,alpha,0.0
R-aSTG→R-INS,DMN→SN,Kraków,eyes closed,alpha,-0.06494238918306573
R-aSTG→L-IFG,DMN→DMN,Kraków,eyes closed,alpha,0.08714072996890153
R-aSTG→R-IFG,DMN→CEN,Kraków,eyes closed,alpha,-0.11603232769803436
R-aSTG→L-mPFC,DMN→DMN,Kraków,eyes closed,alpha,-0.24977841993486818
R-aSTG→R-mPFC,DMN→DMN,Kraków,eyes closed,alpha,-0.04496011558827628
R-aSTG→L-aSTG,DMN→DMN,Kraków,eyes closed,alpha,0.09235226082088449
R-aSTG→L-PREC,DMN→DMN,Kraków,eyes closed,alpha,0.033198106271427545
R-aSTG→R-PREC,DMN→DMN,Kraków,eyes closed,alpha,-0.0044992127066584755
R-aSTG→L-ANG,DMN→DMN,Kraków,eyes closed,alpha,-0.08185947360714992
R-aSTG→R-ANG,DMN→DMN,Kraków,eyes closed,alpha,0.06993795758176309
R-aSTG→L-SFG,DMN→CEN,Kraków,eyes closed,alpha,-0.19180854170491396
R-aSTG→R-SFG,DMN→CEN,Kraków,eyes closed,alpha,-0.1619716574397051
R-aSTG→L-pSTG,DMN→CEN,Kraków,eyes closed,alpha,-0.17547570457754558
R-aSTG→R-pSTG,DMN→CEN,Kraków,eyes closed,alpha,-0.011840033438574935
R-aSTG→L-ITG,DMN→CEN,Kraków,eyes closed,alpha,0.04496011558827628
R-aSTG→R-ITG,DMN→CEN,Kraków,eyes closed,alpha,0.15486262035961829
R-aSTG→L-SUP,DMN→CEN,Kraków,eyes closed,alpha,-0.33007852260947546
R-aSTG→R-SUP,DMN→CEN,Kraków,eyes closed,alpha,-0.23978728313747347
L-PREC→L-ACC,DMN→SN,Kraków,eyes closed,alpha,0.2039312242387692
L-PREC→R-ACC,DMN→SN,Kraków,eyes closed,alpha,0.12804983847550624
L-PREC→L-INS,DMN→SN,Kraków,eyes closed,alpha,0.0806239723734669
L-PREC→R-INS,DMN→SN,Kraków,eyes closed,alpha,-0.07270890843530563
L-PREC→L-IFG,DMN→DMN,Kraków,eyes closed,alpha,-0.11603232769803436
L-PREC→R-IFG,DMN→CEN,Kraków,eyes closed,alpha,0.17547570457754558
